episode,step,reward,action,age
0,192,-4.0,[0 0 1 1 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,193,-3.0,[1 0 0 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,194,-2.0,[0 0 0 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,195,-3.0,[1 0 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,196,-5.0,[1 0 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,197,-3.0,[1 0 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,198,-3.0,[0 0 1 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,199,-4.0,[1 0 1 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,200,-1.0,[0 0 0 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,201,-2.0,[1 0 0 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,202,-5.0,[1 1 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,203,-5.0,[1 0 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,204,-5.0,[1 0 0 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,205,-4.0,[0 0 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,206,-4.0,[0 0 0 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
